Pcia,Comuna,Total de viviendas particulares,Total de viviendas colectivas,Total de población,Población en viviendas particulares,Población en viviendas colectivas (1),Población en situación de calle (vía pública)
Catamarca,Valle Viejo,11.774,17,33.910,33.830,80,
Chaco,Almirante Brown,14.421,11,38.408,38.384,24,
Chaco,Bermejo,10.095,17,28.354,28.239,115,
Chaco,Chacabuco,12.806,19,34.674,34.569,105,
Chaco,Comandante Fernández,37.425,42,102.086,101.133,953,
Chaco,12 de Octubre,8.205,9,23.794,23.715,79,
Chaco,2 de Abril,3.608,7,9.336,9.326,10,
Chaco,Fray Justo Santa María de Oro,4.161,7,10.673,10.646,27,
Chaco,General Belgrano,4.190,,12.822,12.822,,
Chaco,General Donovan,5.290,2,15.515,15.506,9,
Chaco,General Güemes,25.634,59,68.341,67.875,466,
Chaco,Independencia,7.703,6,22.168,22.089,79,
Chaco,Libertad,4.385,7,13.839,13.769,70,
Chaco,Libertador General San Martín,21.589,33,65.588,65.242,346,
Chaco,Maipú,9.615,6,26.486,26.418,68,
Chaco,Mayor Luis J. Fontana,22.784,25,61.561,61.385,176,
Chaco,9 de Julio,11.754,8,30.630,30.586,44,
Chaco,O'Higgins,7.812,9,22.069,22.026,43,
Chaco,Presidencia de la Plaza,5.032,11,14.003,13.982,21,
Chaco,1º de Mayo,5.538,5,14.484,14.469,15,
Chaco,Quitilipi,11.397,13,32.605,32.373,232,
Chaco,San Fernando,142.311,104,423.380,420.621,2.700,59
Chaco,San Lorenzo,6.207,5,16.235,16.218,17,
Chaco,Sargento Cabral,6.733,13,18.788,18.701,87,
Chaco,Tapenagá,1.595,9,4.166,4.158,8,
Chaco,25 de Mayo,11.368,16,32.958,32.775,183,
Chubut,Biedma,40.136,174,106.436,106.048,344,44
Chubut,Cushamen,12.850,263,28.183,28.067,116,
Chubut,Escalante,80.728,49,219.235,218.520,715,
Chubut,Florentino Ameghino,805,4,1.796,1.792,4,
Chubut,Futaleufú,20.269,201,50.892,50.403,489,
Chubut,Gaiman,4.928,72,12.711,12.594,117,
Chubut,Gastre,781,5,1.327,1.313,14,
Chubut,Languiñeo,1.602,32,2.955,2.905,50,
Chubut,Mártires,352,5,757,746,11,
Chubut,Paso de Indios,1.116,16,1.882,1.877,5,
Chubut,Rawson,59.946,121,148.019,146.620,1.399,
Chubut,Río Senguer,2.952,20,6.538,6.466,72,
Chubut,Sarmiento,5.526,91,14.698,14.575,123,
Chubut,Tehuelches,3.086,58,6.010,5.976,34,
Chubut,Telsen,933,12,1.681,1.666,15,
Córdoba,Calamuchita,46.239,329,79.591,78.998,593,
Córdoba,Capital,621.047,548,1.565.112,1.556.935,8.101,76
Córdoba,Colón,106.337,142,303.120,302.058,1.062,
Córdoba,Cruz del Eje,24.537,53,69.214,66.799,2.415,
Córdoba,General Roca,16.027,37,36.873,36.666,207,
Córdoba,General San Martín,68.166,107,162.306,160.278,2.025,3
Córdoba,Ischilín,14.430,30,36.726,36.621,105,
Córdoba,Juárez Celman,27.992,63,75.307,74.981,326,
Córdoba,Marcos Juárez,49.798,98,113.635,112.827,808,
Córdoba,Minas,2.507,6,4.892,4.877,15,
Córdoba,Pocho,2.821,14,5.420,5.351,69,
Córdoba,Presidente Roque Sáenz Peña,16.496,32,39.221,39.021,200,
Córdoba,Punilla,108.032,694,226.947,224.969,1.978,
Córdoba,Río Cuarto,127.339,167,292.293,289.857,2.424,12
Córdoba,Río Primero,22.273,24,59.898,59.656,242,
Córdoba,Río Seco,6.593,14,15.778,15.751,27,
Córdoba,Río Segundo,45.670,93,117.618,116.916,702,
Córdoba,San Alberto,20.336,34,44.116,43.950,166,
Córdoba,San Javier,28.840,83,64.462,63.760,702,
Córdoba,San Justo,97.587,269,234.466,232.551,1.915,
Córdoba,Santa María,59.551,429,147.357,140.849,6.508,
Córdoba,Sobremonte,1.994,21,4.648,4.523,125,
Córdoba,Tercero Arriba,51.126,127,124.592,123.779,813,
Córdoba,Totoral,9.072,23,22.680,22.543,137,
Córdoba,Tulumba,7.068,27,14.340,14.284,56,
Córdoba,Unión,48.478,84,118.372,117.435,937,
Corrientes,Bella Vista,14.385,19,44.913,44.876,33,4
Corrientes,Berón de Astrada,1.404,,2.824,2.824,,
Corrientes,Capital,141.894,131,432.192,431.079,1.090,23
Corrientes,Concepción,7.995,,25.823,25.823,,
Corrientes,Curuzú Cuatiá,18.041,13,51.616,51.573,43,
Corrientes,Empedrado,6.471,2,18.017,17.997,20,
Corrientes,Esquina,12.713,183,37.040,37.022,18,
Corrientes,General Alvear,3.391,14,9.130,9.036,94,
Corrientes,General Paz,6.337,15,16.730,16.725,5,
Corrientes,Goya,35.524,31,106.458,106.306,149,3
Corrientes,Itatí,3.810,1,12.068,12.068,,
Corrientes,Ituzaingó,14.726,27,38.787,38.725,57,5
Corrientes,Lavalle,11.689,4,38.664,38.643,21,
Corrientes,Mburucuyá,4.258,,11.767,11.767,,
Corrientes,Mercedes,16.888,33,49.200,49.152,48,
Corrientes,Monte Caseros,15.518,12,44.878,44.828,50,
Corrientes,Paso de los Libres,19.166,7,57.121,56.990,128,3
Corrientes,Saladas,8.676,17,27.752,27.679,73,
Corrientes,San Cosme,10.814,1,19.350,19.338,12,
Corrientes,San Luis del Palmar,6.796,5,21.039,20.961,78,
Corrientes,San Martín,5.666,29,15.192,15.185,7,
Corrientes,San Miguel,4.128,2,12.476,12.464,12,
Corrientes,San Roque,7.130,,22.309,22.309,,
Corrientes,Santo Tomé,25.500,9,71.796,71.757,39,
Corrientes,Sauce,3.560,,10.411,10.411,,
Entre Ríos,Colón,31.733,270,75.091,74.649,442,
Entre Ríos,Concordia,70.152,121,199.634,198.163,1.471,
